era	period	epoch	age	from	to	fill
Cenozoic	Q		NA	-0.0117	0	yellow2
Cenozoic	Q	Pl.	NA	-2.58	-0.0117	yellow2
Cenozoic	Neogene	Pl.	NA	-5.333	-2.58	gold
Cenozoic	Neogene	Mioc.	Messin.	-7.246	-5.333	gold
Cenozoic	Neogene	Mioc.	Torton.	-11.63	-7.246	gold
Cenozoic	Neogene	Mioc.	Serravall.	-13.82	-11.63	gold
Cenozoic	Neogene	Mioc.	Langh.	-15.97	-13.82	gold
Cenozoic	Neogene	Mioc.	Burdigal.	-20.44	-15.97	gold
Cenozoic	Neogene	Mioc.	Aquitan.	-23.03	-20.44	gold
Cenozoic	Paleogene	Oligoc.	Chatt.	-27.82	-23.03	darkorange1
Cenozoic	Paleogene	Oligoc.	Rupel.	-33.9	-27.82	darkorange1
Cenozoic	Paleogene	Eoc.	Priabon.	-37.71	-33.9	darkorange1
Cenozoic	Paleogene	Eoc.	Barton.	-41.2	-37.71	darkorange1
Cenozoic	Paleogene	Eoc.	Lutet.	-47.8	-41.2	darkorange1
Cenozoic	Paleogene	Eoc.	Ypres.	-56	-47.8	darkorange1
Cenozoic	Paleogene	Paleoc.	Thanet.	-59.2	-56	darkorange1
Cenozoic	Paleogene	Paleoc.	Seland.	-61.6	-59.2	darkorange1
Cenozoic	Paleogene	Paleoc.	Dan.	-66	-61.6	darkorange1
Mesozoic	Cretaceous	Late	Maastricht.	-72.1	-66	chartreuse3
Mesozoic	Cretaceous	Late	Campan.	-83.6	-72.1	chartreuse3
Mesozoic	Cretaceous	Late	Santon.	-86.3	-83.6	chartreuse3
Mesozoic	Cretaceous	Late	Coniac.	-89.8	-86.3	chartreuse3
Mesozoic	Cretaceous	Late	Turon.	-93.9	-89.8	chartreuse3
Mesozoic	Cretaceous	Late	Cenoman.	-100.5	-93.9	chartreuse3
Mesozoic	Cretaceous	Early	Alb.	-113	-100.5	chartreuse3
Mesozoic	Cretaceous	Early	Apt.	-121.4	-113	chartreuse3
Mesozoic	Cretaceous	Early	Barrem.	-125.77	-121.4	chartreuse3
Mesozoic	Cretaceous	Early	Hauteriv.	-132.6	-125.77	chartreuse3
Mesozoic	Cretaceous	Early	Valangin.	-139.8	-132.6	chartreuse3
Mesozoic	Cretaceous	Early	Berrias.	-145	-139.8	chartreuse3
Mesozoic	Jurassic	Late	Tithon.	-149.2	-145	deepskyblue2
Mesozoic	Jurassic	Late	Kimmeridg.	-154.8	-149.2	deepskyblue2
Mesozoic	Jurassic	Late	Oxford.	-161.5	-154.8	deepskyblue2
Mesozoic	Jurassic	Middle	Callov.	-165.3	-161.5	deepskyblue2
Mesozoic	Jurassic	Middle	Bathon.	-168.2	-165.3	deepskyblue2
Mesozoic	Jurassic	Middle	Bajoc.	-170.9	-168.2	deepskyblue2
Mesozoic	Jurassic	Middle	Aalen.	-174.7	-170.9	deepskyblue2
Mesozoic	Jurassic	Early	Toarc.	-184.2	-174.7	deepskyblue2
Mesozoic	Jurassic	Early	Pliensbach.	-192.9	-184.2	deepskyblue2
Mesozoic	Jurassic	Early	Sinemur.	-199.5	-192.9	deepskyblue2
Mesozoic	Jurassic	Early	Hettang.	-201.3	-199.5	deepskyblue2
Mesozoic	Triassic	Late	Rhaet.	-205.7	-201.3	darkorchid
Mesozoic	Triassic	Late	Nor.	-227	-205.7	darkorchid
Mesozoic	Triassic	Late	Carn.	-237	-227	darkorchid
Mesozoic	Triassic	Middle	Ladin.	-242	-237	darkorchid
Mesozoic	Triassic	Middle	Anis.	-247.2	-242	darkorchid
Mesozoic	Triassic	Early	Olenek.	-251.2	-247.2	darkorchid
Mesozoic	Triassic	Early	Induan	-251.902	-251.2	darkorchid
Paleozoic	Permian	Loping.	Changhsing.	-254.14	-251.902	firebrick1
Paleozoic	Permian	Loping.	Wuchiaping.	-259.51	-254.14	firebrick1
Paleozoic	Permian	Guadalup.	Capitan.	-264.28	-259.51	firebrick1
Paleozoic	Permian	Guadalup.	Word.	-266.9	-264.28	firebrick1
Paleozoic	Permian	Guadalup.	Road.	-273.01	-266.9	firebrick1
Paleozoic	Permian	Cisural.	Kungur.	-283.5	-273.01	firebrick1
Paleozoic	Permian	Cisural.	Artinsk.	-290.1	-283.5	firebrick1
Paleozoic	Permian	Cisural.	Sakmar.	-293.52	-290.1	firebrick1
Paleozoic	Permian	Cisural.	Assel.	-298.9	-293.52	firebrick1
Paleozoic	Carboniferous	Pennsylvan.	Gzhel.	-303.7	-298.9	palegreen1
Paleozoic	Carboniferous	Pennsylvan.	Kasimov.	-307	-303.7	palegreen1
Paleozoic	Carboniferous	Pennsylvan.	Moscov.	-315.2	-307	palegreen1
Paleozoic	Carboniferous	Pennsylvan.	Bashkir.	-323.2	-315.2	palegreen1
Paleozoic	Carboniferous	Mississipp.	Serpukhov.	-330.9	-323.2	palegreen1
Paleozoic	Carboniferous	Mississipp.	Viséan	-346.7	-330.9	palegreen1
Paleozoic	Carboniferous	Mississipp.	Tournais.	-358.9	-346.7	palegreen1
Paleozoic	Devonian	Late	Famenn.	-371.1	-358.9	dodgerblue1
Paleozoic	Devonian	Late	Frasn.	-382.7	-371.1	dodgerblue1
Paleozoic	Devonian	Middle	Givet.	-387.7	-382.7	dodgerblue1
Paleozoic	Devonian	Middle	Eifel.	-393.3	-387.7	dodgerblue1
Paleozoic	Devonian	Early	Ems.	-407.6	-393.3	dodgerblue1
Paleozoic	Devonian	Early	Prag.	-410.8	-407.6	dodgerblue1
Paleozoic	Devonian	Early	Lochkov.	-419.2	-410.8	dodgerblue1
Paleozoic	Silurian	Pridoli	NA	-423	-419.2	wheat1
Paleozoic	Silurian	Ludlow	Ludford.	-425.6	-423	wheat1
Paleozoic	Silurian	Ludlow	Gorst.	-427.4	-425.6	wheat1
Paleozoic	Silurian	Wenlock	Homer.	-430.5	-427.4	wheat1
Paleozoic	Silurian	Wenlock	Sheinwood.	-433.4	-430.5	wheat1
Paleozoic	Silurian	Llandovery	Telych.	-438.5	-433.4	wheat1
Paleozoic	Silurian	Llandovery	Aeron.	-440.8	-438.5	wheat1
Paleozoic	Silurian	Llandovery	Rhuddan.	-443.8	-440.8	wheat1
Paleozoic	Ordovician	NA	NA	-486.85	-443.8	aquamarine
Paleozoic	Cambrian	NA	NA	-538.8	-486.85	tan1
