taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
abelisauridae	-143	-66	ceratosauria	abelisaurus, carnotaurus, majungasaurus, rugops	'Abel's lizards'.	family	FALSE	FALSE	FALSE	FALSE	TRUE
abelisaurus	-80	-80	abelisauridae	NA	'Abel's lizard'. South America.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
acanthodii	-443.8	-252	gnathostomata	NA	'Spiny sharks'.	class	FALSE	FALSE	FALSE	TRUE	FALSE
acanthostega	-365	-365	tetrapodomorpha	NA	'Spiny roof'. Greenland.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
actinopterygii	-425	-0	osteichthyes	NA	Ray-finned fish	NA	FALSE	FALSE	FALSE	TRUE	FALSE
adapiformes	-56	-11.1	strepsirrhini	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
aepyornithiformes	-2.58	-0.001	palaeognathae	NA	Elephant birds. Madagascar. Aepyornis and Mullerornis.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
aetosauria	-231.4	-201.4	pseudosuchia	aetosaurus, desmatosuchus	'Eagle lizards'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
aetosaurus	-227.3	-205.7	aetosauria	NA	'Eagle lizard'.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
afrotheria	-65	-0	placentalia	proboscidea, sirenia	incl golden moles, elephant shrews, otter shrews, tenrecs, aardvarks, hyraxes, elephants, sea cows	NA	FALSE	FALSE	FALSE	FALSE	TRUE
afrovenator	-167	-157	megalosauridae	NA	'African hunter'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
alamosaurus	-70	-66	saltasauridae	NA	'Ojo Alamo lizard', named after the geologic formation it was found in. The only known titanosaur from North America.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
albertosaurus	-71	-68	tyrannosauridae	NA	'Alberta lizard'. North America.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
alioramus	-70	-70	tyrannosauridae	NA	'different branch'. Asia.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
alligator	-37.2	-0	alligatoroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
alligatoroidea	-83.6	-0	crocodilia	alligator, caiman, deinosuchus	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
allosauridae	-179.17	-145	carnosauria	allosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
